timestamp,data_type
1701886800.5190537,IMU
1701886800.5240486,IMU
1701886800.5290444,IMU
1701886800.5340395,IMU
1701886800.5390346,IMU
1701886800.5440304,IMU
1701886800.5490255,IMU
1701886800.5540204,IMU
1701886800.5590165,IMU
1701886800.5640116,IMU
1701886800.5690064,IMU
1701886800.5740037,IMU
1701886800.5789974,IMU
1701886800.5839934,IMU
1701886800.5889883,IMU
1701886800.5939834,IMU
1701886800.5989797,IMU
1701886800.6039746,IMU
1701886800.6089694,IMU
1701886800.6139655,IMU
1701886800.6189604,IMU
1701886800.6239564,IMU
1701886800.6289515,IMU
1701886800.6339464,IMU
1701886800.6389425,IMU
1701886800.6439376,IMU
1701886800.6489346,IMU
1701886800.6539285,IMU
1701886800.6589234,IMU
1701886800.6639185,IMU
1701886800.6689146,IMU
1701886800.6739094,IMU
1701886800.6789043,IMU
1701886800.6839006,IMU
1701886800.6888957,IMU
1701886800.6938934,IMU
1701886800.6988864,IMU
1701886800.7038815,IMU
1701886800.7088766,IMU
1701886800.7138724,IMU
1701886800.7188675,IMU
1701886800.7238636,IMU
1701886800.7288585,IMU
1701886800.7338536,IMU
1701886800.7388494,IMU
1701886800.7438445,IMU
1701886800.7488394,IMU
1701886800.7538354,IMU
1701886800.7588303,IMU
1701886800.7638254,IMU
1701886800.7688203,IMU
1701886800.7738166,IMU
1701886800.7788117,IMU
1701886800.7838075,IMU
1701886800.7888024,IMU
1701886800.7937975,IMU
1701886800.7987936,IMU
1701886800.8037884,IMU
1701886800.8087835,IMU
1701886800.8137796,IMU
1701886800.8187745,IMU
1701886800.8237696,IMU
1701886800.8287654,IMU
1701886800.8337655,IMU
1701886800.8387566,IMU
1701886800.8437514,IMU
1701886800.8487463,IMU
1701886800.8537426,IMU
1701886800.8587377,IMU
1701886800.8637326,IMU
1701886800.8687284,IMU
1701886800.8737235,IMU
1701886800.8787184,IMU
1701886800.8837144,IMU
1701886800.8887095,IMU
1701886800.8937044,IMU
1701886800.8987005,IMU
