timestamp,data_type
1701886800.0192578,Visual
1701886800.0525787,Visual
1701886800.0859,Visual
1701886800.1525414,Visual
1701886800.185861,Visual
1701886800.219182,Visual
1701886800.2525015,Visual
1701886800.2858217,Visual
1701886800.319141,Visual
1701886800.3524606,Visual
1701886800.485736,Visual
1701886800.5190537,Visual
1701886800.552372,Visual
1701886800.5856972,Visual
1701886800.619023,Visual
1701886800.6523485,Visual
1701886800.6856742,Visual
1701886800.7523236,Visual
1701886800.785648,Visual
1701886800.8522966,Visual
1701886800.885621,Visual
1701886800.9189446,Visual
1701886800.9522688,Visual
1701886800.985592,Visual
1701886801.052238,Visual
1701886801.0855615,Visual
1701886801.1188838,Visual
1701886801.152207,Visual
1701886801.1855285,Visual
1701886801.218851,Visual
1701886801.252173,Visual
1701886801.285495,Visual
1701886801.3188162,Visual
1701886801.352138,Visual
1701886801.3854587,Visual
1701886801.4187803,Visual
1701886801.4521005,Visual
1701886801.4854217,Visual
1701886801.5187416,Visual
1701886801.5520625,Visual
1701886801.585389,Visual
1701886801.6187158,Visual
1701886801.6520417,Visual
1701886801.7186942,Visual
1701886801.7520206,Visual
1701886801.7853458,Visual
1701886801.8186717,Visual
1701886801.8519964,Visual
1701886801.885322,Visual
1701886801.9186468,Visual
1701886801.951972,Visual
1701886801.9852962,Visual
1701886802.0186212,Visual
1701886802.0519447,Visual
1701886802.0852697,Visual
1701886802.1185927,Visual
1701886802.5184662,Visual
1701886802.5851138,Visual
1701886802.6184404,Visual
1701886802.6517656,Visual
1701886802.6850915,Visual
1701886802.7184167,Visual
1701886802.7517426,Visual
1701886802.785067,Visual
1701886802.8517168,Visual
1701886802.8850417,Visual
1701886802.9183657,Visual
1701886802.9516904,Visual
1701886802.985014,Visual
1701886803.0183382,Visual
1701886803.0516615,Visual
1701886803.0849853,Visual
1701886803.118308,Visual
1701886803.1516316,Visual
1701886803.1849542,Visual
1701886803.2182777,Visual
1701886803.284922,Visual
1701886803.318244,Visual
1701886803.3515663,Visual
1701886803.3848877,Visual
1701886803.41821,Visual
1701886803.4515307,Visual
1701886803.4848526,Visual
1701886803.5181737,Visual
1701886803.5514946,Visual
1701886803.5848951,Visual
1701886803.6183398,Visual
1701886803.6517844,Visual
1701886803.685231,Visual
1701886803.7521255,Visual
1701886803.8190231,Visual
1701886803.8524728,Visual
1701886803.919376,Visual
1701886803.9528294,Visual
1701886804.0197372,Visual
1701886804.0531924,Visual
1701886804.086649,Visual
1701886804.153564,Visual
1701886804.1870222,Visual
1701886804.220482,Visual
1701886804.2539425,Visual
1701886804.287404,Visual
1701886804.3208656,Visual
1701886804.354329,Visual
1701886804.3877926,Visual
1701886804.4212575,Visual
1701886804.4547226,Visual
1701886804.4881897,Visual
1701886804.5216565,Visual
1701886804.555125,Visual
1701886804.5885348,Visual
1701886804.6553376,Visual
1701886804.68874,Visual
1701886804.7221413,Visual
1701886804.7555444,Visual
1701886804.7889466,Visual
1701886804.8223498,Visual
1701886804.8557527,Visual
1701886804.92256,Visual
1701886804.9559646,Visual
1701886804.989369,Visual
1701886805.022774,Visual
1701886805.0561783,Visual
1701886805.089584,Visual
1701886805.1229892,Visual
1701886805.1898012,Visual
1701886805.223208,Visual
1701886805.2566142,Visual
1701886805.290022,Visual
1701886805.3234286,Visual
1701886805.3568366,Visual
1701886805.3902442,Visual
1701886805.423653,Visual
1701886805.4570608,Visual
1701886805.49047,Visual
1701886806.058012,Visual
1701886806.291713,Visual
1701886806.3584883,Visual
1701886806.3918762,Visual
1701886806.4252653,Visual
1701886806.4586542,Visual
1701886806.4920442,Visual
1701886806.5254338,Visual
1701886806.592215,Visual
1701886806.6255577,Visual
1701886806.6588778,Visual
1701886806.692199,Visual
1701886806.7255187,Visual
1701886806.7588394,Visual
1701886806.7921588,Visual
1701886806.8587978,Visual
1701886806.8921175,Visual
1701886806.925436,Visual
1701886806.9587553,Visual
1701886806.9920735,Visual
1701886807.025392,Visual
1701886807.092028,Visual
1701886807.1253452,Visual
1701886807.158663,Visual
1701886807.1919796,Visual
1701886807.2252972,Visual
1701886807.258613,Visual
1701886807.325246,Visual
1701886807.3585625,Visual
1701886807.4251938,Visual
1701886807.4918242,Visual
1701886807.5584538,Visual
1701886807.5917678,Visual
1701886807.6251297,Visual
1701886807.658528,Visual
1701886807.691928,Visual
1701886807.7253275,Visual
1701886807.7587285,Visual
1701886807.792128,Visual
1701886807.825529,Visual
1701886807.85893,Visual
1701886807.8923316,Visual
1701886807.9257326,Visual
1701886807.959135,Visual
1701886808.0259392,Visual
1701886808.0593412,Visual
1701886808.0927448,Visual
1701886808.1595514,Visual
1701886808.1929543,Visual
1701886808.2597628,Visual
1701886808.326572,Visual
1701886808.4267886,Visual
1701886809.3267207,Visual
1701886809.4599502,Visual
1701886809.4932573,Visual
1701886809.5598695,Visual
1701886809.6264858,Visual
1701886809.6597989,Visual
1701886809.9262977,Visual
1701886809.959609,Visual
1701886811.125449,Visual
1701886811.1587589,Visual
1701886811.1920674,Visual
1701886811.2253764,Visual
1701886811.2586844,Visual
1701886811.2919931,Visual
1701886811.3253002,Visual
1701886811.3586085,Visual
1701886811.391915,Visual
1701886811.4252226,Visual
1701886811.4585288,Visual
1701886811.4918356,Visual
1701886811.525141,Visual
1701886811.5584476,Visual
1701886811.5917523,Visual
1701886811.6250622,Visual
1701886811.6583776,Visual
1701886811.7250085,Visual
1701886811.758324,Visual
1701886811.7916384,Visual
1701886811.8249536,Visual
1701886811.8582673,Visual
1701886811.924895,Visual
1701886811.958209,Visual
1701886811.9915216,Visual
1701886812.0248349,Visual
1701886812.058147,Visual
1701886812.0914598,Visual
1701886812.1247714,Visual
1701886812.1580834,Visual
1701886812.1913946,Visual
1701886812.2247064,Visual
1701886812.2580166,Visual
1701886812.291328,Visual
1701886812.3246377,Visual
1701886812.3579483,Visual
1701886812.3912575,Visual
1701886812.4245677,Visual
1701886812.4578764,Visual
1701886812.491186,Visual
1701886812.5244942,Visual
1701886812.5578032,Visual
1701886812.591111,Visual
1701886812.624422,Visual
1701886812.657735,Visual
1701886812.691049,Visual
1701886812.7243617,Visual
1701886812.7576747,Visual
1701886812.7909863,Visual
1701886812.824299,Visual
1701886812.8576107,Visual
1701886812.8909223,Visual
1701886812.9242334,Visual
1701886812.9575448,Visual
1701886812.990855,Visual
1701886813.024166,Visual
1701886813.057475,Visual
1701886813.0907855,Visual
1701886813.1240947,Visual
1701886813.1574042,Visual
1701886813.190713,Visual
1701886813.224022,Visual
1701886813.25733,Visual
1701886813.2906382,Visual
1701886813.3239455,Visual
1701886813.3572533,Visual
1701886813.3905602,Visual
1701886813.4238677,Visual
1701886813.457173,Visual
1701886813.4904802,Visual
1701886813.5237856,Visual
1701886813.5570917,Visual
1701886813.5903966,Visual
1701886813.6237051,Visual
1701886813.6570184,Visual
1701886813.690332,Visual
1701886813.7236445,Visual
1701886813.7569578,Visual
1701886813.79027,Visual
1701886813.8235824,Visual
1701886813.8568938,Visual
1701886813.890206,Visual
1701886813.9235165,Visual
1701886813.956828,Visual
1701886813.9901383,Visual
1701886814.0567589,Visual
1701886814.1233785,Visual
1701886814.156688,Visual
1701886814.1899962,Visual
1701886814.2233057,Visual
1701886814.2566133,Visual
1701886814.2899218,Visual
1701886814.3232293,Visual
1701886814.356537,Visual
1701886814.3898437,Visual
1701886814.423151,Visual
1701886814.4564574,Visual
1701886814.4897642,Visual
1701886814.5230696,Visual
1701886814.5563755,Visual
1701886814.589681,Visual
1701886814.6230028,Visual
1701886814.6563642,Visual
1701886814.689727,Visual
1701886814.7230892,Visual
1701886814.7564526,Visual
1701886814.7898157,Visual
1701886814.8231795,Visual
1701886814.8565433,Visual
1701886814.8899083,Visual
1701886814.9232724,Visual
1701886814.956638,Visual
1701886814.9900029,Visual
1701886815.023369,Visual
1701886815.0567348,Visual
1701886815.0901017,Visual
1701886815.123468,Visual
1701886815.1568358,Visual
1701886815.1902027,Visual
1701886815.223571,Visual
