timestamp,unallocated_torque[0],unallocated_torque[1],unallocated_torque[2],unallocated_thrust[0],unallocated_thrust[1],unallocated_thrust[2],handled_motor_failure_mask,torque_setpoint_achieved,thrust_setpoint_achieved,actuator_saturation[0],actuator_saturation[1],actuator_saturation[2],actuator_saturation[3],actuator_saturation[4],actuator_saturation[5],actuator_saturation[6],actuator_saturation[7],actuator_saturation[8],actuator_saturation[9],actuator_saturation[10],actuator_saturation[11],actuator_saturation[12],actuator_saturation[13],actuator_saturation[14],actuator_saturation[15]
3050101676,-0.0076179253,-0.023325821,0.00045213796,0.0,0.0,1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
3050107915,-0.00718766,-0.023836022,0.00028290547,0.0,0.0,1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
3050306596,-0.006893258,-0.022370776,-3.3513898e-06,0.0,0.0,1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
3050502537,-0.0076679867,-0.02483392,2.8705643e-05,0.0,0.0,1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
3050704852,-0.008107203,-0.024368959,0.00015992357,0.0,0.0,1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
3050904653,-0.007770062,-0.024684992,-0.00012741111,0.0,0.0,1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
3051108366,-0.007503767,-0.026764872,1.0984744e-05,0.0,0.0,1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
3051305524,-0.010552636,-0.031310372,-0.00045762636,0.0,0.0,1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
3051504073,-0.005588077,-0.022313245,0.00015085081,0.0,0.0,3.4924597e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
3051703884,-0.007369725,-0.02439511,-0.0002801035,0.0,0.0,1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
3051904929,-0.007562261,-0.024293022,0.00011625905,0.0,0.0,1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
3052105979,-0.0070424154,-0.024990276,9.734393e-05,0.0,0.0,1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
3052305784,-0.0067674485,-0.022133324,-5.7504843e-05,0.0,0.0,3.4924597e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
3052508098,-0.0065573067,-0.023731554,0.00028730204,0.0,0.0,3.4924597e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
3052706658,-0.006811145,-0.023231925,0.00021608097,0.0,0.0,1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
3052906458,-0.0076380726,-0.023648595,0.00030127531,0.0,0.0,3.4924597e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
3053101269,-0.0068732835,-0.02342356,0.0002506557,0.0,0.0,1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
3053303580,-0.00739562,-0.023225008,-9.176366e-05,0.0,0.0,1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
3053502140,-0.004825069,-0.02370722,0.00036230925,0.0,0.0,1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
3053700698,-0.007582645,-0.023516068,-0.0001475998,0.0,0.0,1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
3053906745,-0.0077014077,-0.023737358,0.00016223968,0.0,0.0,1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
3054107834,-0.007840002,-0.023885228,-6.5631866e-05,0.0,0.0,3.4924597e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
3054305115,-0.0071284757,-0.02340381,0.00016537924,0.0,0.0,1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
3054504919,-0.0070754136,-0.022036716,0.00012604176,0.0,0.0,-1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
3054703475,-0.0072170766,-0.024637608,0.00014979536,0.0,0.0,1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
3054905879,-0.0077864868,-0.025100801,0.00027080916,0.0,0.0,2.3283064e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
3055103097,-0.006899182,-0.023466444,2.568909e-06,0.0,0.0,1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
3055304144,-0.0069149914,-0.022653185,7.857689e-05,0.0,0.0,1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
3055506448,-0.0070671355,-0.023370357,0.00012953096,0.0,0.0,1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
3055705166,-0.007714418,-0.022524245,0.00017729399,0.0,0.0,3.4924597e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
3055904831,-0.007256624,-0.024538148,0.00018482399,0.0,0.0,1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
3056103378,-0.0070555815,-0.024323985,1.5365225e-05,0.0,0.0,2.3283064e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
3056303177,-0.0073103015,-0.021933237,0.00010293776,0.0,0.0,-1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
3056501929,-0.007092993,-0.024867354,-0.00011909471,0.0,0.0,3.4924597e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
3056707789,-0.006479651,-0.023064926,2.8378787e-05,0.0,0.0,2.3283064e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
3056902606,-0.0075979466,-0.023403922,-4.044848e-05,0.0,0.0,1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
3057102412,-0.0073381993,-0.02317071,0.00010488559,0.0,0.0,2.3283064e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
3057305964,-0.0073080775,-0.024620013,4.3224903e-05,0.0,0.0,3.4924597e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
3057504527,-0.007424561,-0.02300906,0.00015195129,0.0,0.0,1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
3057703096,-0.0081814015,-0.02529381,0.000102388665,0.0,0.0,0.0,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
3057901637,-0.006908191,-0.023617951,2.4769246e-05,0.0,0.0,2.3283064e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
3058106439,-0.008096369,-0.02567719,0.00015814081,0.0,0.0,2.3283064e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
3058303744,-0.0069940486,-0.022351827,-0.00022671215,0.0,0.0,3.4924597e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
3058502315,-0.0072085946,-0.02373759,0.00027070986,0.0,0.0,1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
3058702154,-0.007561357,-0.024452217,0.00015660604,0.0,0.0,1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
3058905666,-0.0069170725,-0.023899363,3.3135926e-05,0.0,0.0,1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
3059102985,-0.0077331346,-0.023896603,4.6331417e-05,0.0,0.0,1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
3059305293,-0.0067580603,-0.02380701,0.000113511385,0.0,0.0,3.4924597e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
3059501415,-0.0076574064,-0.023355013,5.843557e-06,0.0,0.0,1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
3059707400,-0.007214128,-0.023556184,-2.1805334e-05,0.0,0.0,1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
3059903460,-0.008098898,-0.024724111,0.00024511604,0.0,0.0,1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
3060104515,-0.00812681,-0.02491387,0.00015564733,0.0,0.0,1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
3060305710,-0.0076566674,-0.024593836,0.00023086875,0.0,0.0,1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
3060500400,-0.0075269495,-0.024216559,0.00014327865,0.0,0.0,3.4924597e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
3060705194,-0.006751476,-0.02159409,0.00026151148,0.0,0.0,1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
3060904999,-0.008053761,-0.023071643,0.00020254965,0.0,0.0,1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
3061107477,-0.0075640916,-0.02281183,0.0001428889,0.0,0.0,1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
3061307103,-0.0076663857,-0.02492686,0.00013421946,0.0,0.0,1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
3061503173,-0.0070056254,-0.023377232,-6.545067e-05,0.0,0.0,1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
3061705471,-0.0069932034,-0.023541264,5.793329e-05,0.0,0.0,1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
3061900291,-0.0069337515,-0.022171868,-0.00022552238,0.0,0.0,3.4924597e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
3062101346,-0.0066932295,-0.02178136,-0.000281907,0.0,0.0,0.0,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
3062306145,-0.007452823,-0.024871157,0.000100598634,0.0,0.0,1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
3062504710,-0.006607864,-0.023705248,3.702994e-06,0.0,0.0,1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
