timestamp,flag_armed,flag_multicopter_position_control_enabled,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_rates_enabled,flag_control_attitude_enabled,flag_control_acceleration_enabled,flag_control_velocity_enabled,flag_control_position_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_termination_enabled
3049931280,0,1,0,1,0,1,1,0,1,1,1,1,0
3050431517,0,1,0,1,0,1,1,0,1,1,1,1,0
3050941281,0,1,0,1,0,1,1,0,1,1,1,1,0
3051451303,0,1,0,1,0,1,1,0,1,1,1,1,0
3051963276,0,1,0,1,0,1,1,0,1,1,1,1,0
3052473872,0,1,0,1,0,1,1,0,1,1,1,1,0
3052974431,0,1,0,1,0,1,1,0,1,1,1,1,0
3053484383,0,1,0,1,0,1,1,0,1,1,1,1,0
3053995801,0,1,0,1,0,1,1,0,1,1,1,1,0
3054505594,0,1,0,1,0,1,1,0,1,1,1,1,0
3055016535,0,1,0,1,0,1,1,0,1,1,1,1,0
3055526533,0,1,0,1,0,1,1,0,1,1,1,1,0
3056037349,0,1,0,1,0,1,1,0,1,1,1,1,0
3056547277,0,1,0,1,0,1,1,0,1,1,1,1,0
3057060017,0,1,0,1,0,1,1,0,1,1,1,1,0
3057569321,0,1,0,1,0,1,1,0,1,1,1,1,0
3058080356,0,1,0,1,0,1,1,0,1,1,1,1,0
3058591386,0,1,0,1,0,1,1,0,1,1,1,1,0
3059101318,0,1,0,1,0,1,1,0,1,1,1,1,0
3059611351,0,1,0,1,0,1,1,0,1,1,1,1,0
3060122277,0,1,0,1,0,1,1,0,1,1,1,1,0
3060632277,0,1,0,1,0,1,1,0,1,1,1,1,0
3061132421,0,1,0,1,0,1,1,0,1,1,1,1,0
3061644500,0,1,0,1,0,1,1,0,1,1,1,1,0
3062154639,0,1,0,1,0,1,1,0,1,1,1,1,0
3062664305,0,1,0,1,0,1,1,0,1,1,1,1,0
3063175827,0,1,0,1,0,1,1,0,1,1,1,1,0
3063684276,0,1,0,1,0,1,1,0,1,1,1,1,0
3064184304,0,1,0,1,0,1,1,0,1,1,1,1,0
3064694280,0,1,0,1,0,1,1,0,1,1,1,1,0
3065194343,0,1,0,1,0,1,1,0,1,1,1,1,0
3065694636,0,1,0,1,0,1,1,0,1,1,1,1,0
3066204429,0,1,0,1,0,1,1,0,1,1,1,1,0
3066715482,0,1,0,1,0,1,1,0,1,1,1,1,0
3067225519,0,1,0,1,0,1,1,0,1,1,1,1,0
3067728150,0,1,0,1,0,1,1,0,1,1,1,1,0
3068238730,0,1,0,1,0,1,1,0,1,1,1,1,0
3068749280,0,1,0,1,0,1,1,0,1,1,1,1,0
3069259278,0,1,0,1,0,1,1,0,1,1,1,1,0
3069759367,0,1,0,1,0,1,1,0,1,1,1,1,0
3070261278,0,1,0,1,0,1,1,0,1,1,1,1,0
3070771283,0,1,0,1,0,1,1,0,1,1,1,1,0
3071281708,0,1,0,1,0,1,1,0,1,1,1,1,0
3071792281,0,1,0,1,0,1,1,0,1,1,1,1,0
3072302278,0,1,0,1,0,1,1,0,1,1,1,1,0
3072803643,0,1,0,1,0,1,1,0,1,1,1,1,0
3073313774,0,1,0,1,0,1,1,0,1,1,1,1,0
3073815391,0,1,0,1,0,1,1,0,1,1,1,1,0
3074326279,0,1,0,1,0,1,1,0,1,1,1,1,0
3074837280,0,1,0,1,0,1,1,0,1,1,1,1,0
3075348025,0,1,0,1,0,1,1,0,1,1,1,1,0
3075858281,0,1,0,1,0,1,1,0,1,1,1,1,0
3076368277,0,1,0,1,0,1,1,0,1,1,1,1,0
3076880421,0,1,0,1,0,1,1,0,1,1,1,1,0
3077390919,0,1,0,1,0,1,1,0,1,1,1,1,0
3077901279,0,1,0,1,0,1,1,0,1,1,1,1,0
3078411320,0,1,0,1,0,1,1,0,1,1,1,1,0
3078912277,0,1,0,1,0,1,1,0,1,1,1,1,0
3079412336,0,1,0,1,0,1,1,0,1,1,1,1,0
3079923351,0,1,0,1,0,1,1,0,1,1,1,1,0
3080434277,0,1,0,1,0,1,1,0,1,1,1,1,0
3080944277,0,1,0,1,0,1,1,0,1,1,1,1,0
3081444905,0,1,0,1,0,1,1,0,1,1,1,1,0
3081955625,0,1,0,1,0,1,1,0,1,1,1,1,0
3082456320,0,1,0,1,0,1,1,0,1,1,1,1,0
3082956429,0,1,0,1,0,1,1,0,1,1,1,1,0
3083467551,0,1,0,1,0,1,1,0,1,1,1,1,0
3083977366,0,1,0,1,0,1,1,0,1,1,1,1,0
3084479278,0,1,0,1,0,1,1,0,1,1,1,1,0
3084979485,0,1,0,1,0,1,1,0,1,1,1,1,0
3085489818,0,1,0,1,0,1,1,0,1,1,1,1,0
3085990619,0,1,0,1,0,1,1,0,1,1,1,1,0
